Model Index,A2_PC1,A2_PC2,U2_PC1,U2_PC2,S11_PC1,S11_PC2,damage_type,severity_level
37,26.6159643735485,-10.4546077392474,22.860912390659,18.999949480189,43.6183548504941,-28.5709717368672,1,1
38,9.49947129788229,-11.4893003042735,3.52609529073446,39.7822489482263,-23.6100516048937,-29.0503129342255,1,1
39,1.06907125327268,-11.7382607170655,2.25006103931617,-14.0440155915212,-29.7394502143615,24.3607525465202,1,1
40,24.6395505723605,-10.5964483788462,22.6676752554214,2.29073060474633,29.0290934448587,-9.12834672301048,1,1
41,9.72871167311103,-11.5636987122279,3.93913682668457,30.2626546179818,-23.3786051086435,-25.9763848575876,1,1
42,-1.82040322926603,22.2825567326665,-0.349515214950212,7.82345134369243,1.91912607599188,12.2525075569247,1,1
43,-99.4051063151428,53.6170301399166,-95.6677272484478,5.18522848794923,-97.3032101686142,-240.99200328666,1,1
44,-96.5763451730469,55.1676944307105,-95.6175410403439,5.64482412256573,-102.234923545921,251.775520580616,1,1
45,-1.32042719215136,22.3427818344326,-0.160911333655836,9.69210468850322,5.23795289668653,-17.6693533712978,1,1
46,20.82569580587,106.84676168237,1.43429906231641,-25.7475208075903,2.44235819597363,-1.62978483381907,1,1
47,20.0917944630678,107.495288180881,-2.99796708492038,43.7301386803465,3.09191909501311,-4.66695324833183,1,1
48,-4.41330477175375,-10.9146457956221,-2.87064069657584,9.21267584845884,-0.885292899798051,-3.17901751640556,1,1
49,-101.079487399683,-7.95518752057174,-104.639808190917,4.9748245996144,-103.791083411584,102.971401117287,1,1
50,-142.087325115437,-4.731793137527,-194.331419097535,0.277628648592672,415.907740214219,-175.870504685196,1,1
51,-144.938341659352,-4.31030514586747,-194.365642083786,1.43318352091849,391.504554532304,214.740022840665,1,1
52,-125.620006205407,-5.83724429487937,-104.637051545609,5.36884746363641,-86.0652341038672,-115.841883094775,1,1
53,-35.0521934923108,-11.6714585270569,-3.04326694443001,6.86837863907149,-0.906847022032211,-1.27350174122893,1,1
54,31.9838714879355,-10.3729183421877,38.8872545157592,7.69690078509337,13.6258989728153,9.90087099442471,1,1
55,31.7753095735307,-10.3252926929855,38.8879903108022,7.71506026493359,13.1707393118891,-4.71895323346685,1,1
56,31.9529937908378,-10.3934336898909,38.3007621512267,7.68553078870166,24.6155910239214,5.88849308881937,1,1
57,32.0289438037257,-10.3092713928319,39.5692234258283,7.72935361019047,-1.34307071024365,-2.36025907444781,1,1
58,-41.5399997987399,-9.82480522079059,-48.6907109217791,10.7911492653678,2.74647436958323,-11.7221688840473,1,1
59,-31.5688468547668,-10.0886253775663,-49.1377180632916,5.92532150148032,-0.819879577802932,6.98184148283136,1,1
60,-22.2442239626773,-11.6884377205541,-30.4518482295881,-60.6661024489042,-15.6874534188849,-21.4385013240803,1,1
61,-2.56160101741864,-11.268783912817,-13.4026911771348,-44.2068517727427,25.2946263195229,26.6829507927778,1,1
62,-3.40495943038539,-10.5975427766103,-19.365530700588,55.9509592038265,28.7871332716888,6.30427543851693,1,1
63,-23.444571648471,-10.5316353638484,-37.9869749397241,73.7274828410669,-24.7185021397096,-20.1256552923932,1,1
64,-30.9758062444846,-11.2170539718044,-30.2599575634177,-56.8207300497651,-26.3304305248473,15.8039754856584,1,1
65,-9.58842300515568,-10.9746939965608,-13.6417217793758,-36.985593384698,28.8616492470794,-16.1510803168045,1,1
66,-33.1748400422469,-9.2248844570499,-38.1475623577664,69.6048665725091,-20.646684134238,19.5702753888419,1,1
