Model_Index,mean_A2,std_A2,var_A2,median_A2,skew_A2,damage_type,severity_level,mean_S11,std_S11,var_S11,median_S11,skew_S11,mean_U2,std_U2,var_U2,median_U2,skew_U2
68,-0.0015651222549539,0.3063633067921619,0.0938584757486283,0.0,-1.4139379563871424,0,0,1868974.8912227445,15122262.336663578,228682818178873.75,158988.47,0.0100593431501419,-0.0001471442167188,0.0007433215020014,5.525268553377493e-07,-0.0002098843251587,1.725099290372261
69,-0.0014332700292059,0.3050067518544578,0.0930291186768068,0.0,-1.3803508932753124,0,0,1869006.9722545743,15121870.967508849,228670981557987.03,159035.66499999998,0.0100774574907766,-0.0001472007920015,0.0007432649923144,5.524428488002434e-07,-0.000209895602893,1.7258101917901687
70,-0.0014333231783778,0.3050049089504861,0.0930279944838943,0.0,-1.3805183542156028,0,0,1869006.9395894676,15121870.99249037,228670982313521.7,158356.14,0.0100774593453156,-0.0001472006059475,0.0007432660792215,5.524444645213149e-07,-0.0002098938712151,1.7258235513161035
71,-0.0015651011739264,0.3063663208895325,0.0938603225753879,0.0,-1.413885671484166,0,0,1868962.9107285896,15126554.657684114,228812655811904.97,159127.91999999998,0.0098417161007672,-0.0001471537549997,0.0007433496894289,5.525687607741425e-07,-0.0002098835248034,1.7245344252805763
72,-0.0015651402698619,0.3063667067419638,0.0938605589999164,0.0,-1.4138851153335716,0,0,1868962.70290245,15126553.351811288,228812616305193.3,158897.875,0.009841752361567,-0.0001471537286508,0.0007433497247228,5.525688132455593e-07,-0.00020988410688,1.7245339235469248
73,-0.0015654743096778,0.306387181756271,0.0938731051445502,0.0,-1.413414736820489,0,0,1868874.8309851205,15135907.79642313,229095704821822.47,159422.17,0.0156695669207845,-0.0001472674497984,0.0007435817447809,5.52913811171511e-07,-0.000209908990655,1.720112352313561
74,-0.0015654915719777,0.3063873855822676,0.0938732300439371,0.0,-1.4134133995158225,0,0,1868874.7489868556,15135907.345972637,229095691185868.4,159308.95,0.0156697407915337,-0.0001472674414367,0.0007435817550976,5.529138265141552e-07,-0.000209910722333,1.7201120594952473
75,-0.0015644999332259,0.3064672000282221,0.0939221446931383,0.0,-1.4122413860024716,0,0,1868526.5220156847,15046284.373821553,226390673457906.62,159277.255,0.0153477220241405,-0.0001475868424333,0.0007443600325518,5.54071858060636e-07,-0.0002098771219607,1.7078086854817698
76,-0.0015644999125561,0.3064672000502033,0.0939221447066113,0.0,-1.4122413852422606,0,0,1868526.522274216,15046284.373698257,226390673454196.3,159277.255,0.015347721984019,-0.0001475868424239,0.000744360032558,5.540718580698839e-07,-0.0002098771219607,1.7078086854183832
77,-0.0015662094264894,0.3064138880696031,0.0938894708019312,0.0,-1.4129994480785828,0,0,1869468.1819019772,15132269.2852484,228985573721272.1,158733.18,0.0057447753630749,-0.0001473161302499,0.0007437503539989,5.53164589073594e-07,-0.0002098879776895,1.7162410483175268
78,-0.001566209425667,0.3064138880929219,0.0938894708162216,0.0,-1.4129994483939614,0,0,1869468.1824211413,15132269.28478823,228985573707345.3,158733.18,0.0057447753418567,-0.0001473161302509,0.0007437503539988,5.531645890733656e-07,-0.0002098879776895,1.7162410483229151
